15,132,36,367
23,132,36,368
33,138,32,369
42,138,31,370
56,156,38,362
73,162,43,355
86,167,41,359
89,180,43,357
86,198,41,363
95,215,42,361
95,228,38,363
101,239,36,363
107,242,43,359
116,246,43,361
132,244,21,384
160,250,34,365
162,253,19,379
165,240,186,358
174,261,33,368
183,269,38,364
189,287,43,356
199,306,46,354
192,316,50,352
195,325,46,355
203,341,44,358
211,348,50,354
219,349,49,355
217,357,42,367
250,356,42,355
266,362,40,359
283,366,50,349
290,373,60,340
293,384,47,357
308,398,51,351
313,408,50,355
312,423,47,355
315,435,49,354
314,449,49,356
318,451,48,356
322,450,47,359
345,456,48,356
356,459,40,359
375,467,40,364
389,471,42,357
389,483,39,361
396,501,47,358
403,506,43,357
401,518,44,358
409,531,47,355
414,545,50,353
419,547,52,353
425,546,53,353
432,543,46,358
437,558,50,353
453,553,46,354
466,561,49,353
478,567,49,355
488,568,52,350
486,570,48,355
486,580,50,355
486,587,50,356
494,599,51,351
