509,619,32,351
503,613,34,349
492,613,40,345
489,611,44,341
489,607,47,337
484,613,44,336
473,601,40,340
468,600,43,354
464,570,37,345
461,556,36,346
455,548,37,346
452,542,39,342
439,528,37,347
428,522,36,362
421,522,37,363
394,528,45,355
387,515,33,352
380,514,38,346
370,504,38,360
367,503,43,355
369,497,44,355
372,483,35,361
364,459,27,357
361,452,27,355
363,447,27,357
356,444,33,352
337,428,28,354
330,418,22,360
326,413,21,360
315,414,20,362
302,412,23,360
293,411,26,357
276,396,26,356
264,408,42,356
274,386,27,354
265,376,26,356
255,366,23,357
254,360,27,352
249,355,28,351
234,324,27,351
223,309,27,352
209,302,26,354
198,304,25,354
182,294,35,366
170,293,25,355
153,291,22,358
145,280,18,363
137,277,24,357
138,270,19,362
138,269,27,354
138,269,29,375
141,230,21,358
132,220,18,363
119,208,15,365
106,204,17,361
93,189,12,364
83,191,10,366
72,189,13,362
48,184,21,354
38,179,21,354
27,179,16,358
28,175,16,363
29,160,12,363
28,157,12,362
30,148,3,368
