582,635,197,356
581,634,197,355
576,625,188,358
571,618,186,356
558,616,186,359
557,613,195,360
550,610,194,370
542,605,198,366
532,599,191,368
526,595,194,364
520,587,198,360
515,584,198,359
512,581,197,362
507,568,196,359
505,566,190,368
505,562,193,365
500,558,196,364
496,553,193,365
485,544,190,368
476,539,193,363
467,536,190,367
463,531,191,362
456,523,191,372
451,521,191,376
441,517,199,369
437,507,194,368
427,490,193,360
424,484,192,361
421,473,183,370
418,474,185,370
410,468,182,375
404,466,181,370
401,461,179,370
395,454,183,370
385,449,191,370
379,442,192,365
371,438,197,363
364,437,193,365
362,430,190,369
357,420,193,369
356,413,186,371
352,405,185,371
349,398,180,368
339,390,185,368
329,384,182,365
321,377,185,365
310,373,182,370
306,373,187,367
298,368,193,366
290,363,188,370
278,354,192,369
272,345,192,371
267,344,189,371
267,331,180,367
267,328,179,373
264,318,184,368
260,313,177,367
254,308,171,369
248,304,181,368
242,295,183,370
233,292,188,363
225,293,191,363
220,290,192,362
216,288,189,360
207,274,186,369
203,272,186,367
201,266,190,364
199,254,183,367
193,246,182,364
187,242,183,364
176,231,180,365
172,228,179,367
166,218,184,367
159,216,181,369
145,214,183,364
138,210,180,366
134,204,185,367
126,198,187,361
116,195,184,368
113,189,181,368
112,174,186,367
111,172,180,369
110,167,180,361
105,165,179,363
102,155,184,357
97,150,185,362
89,148,184,359
80,144,186,359
76,142,188,359
69,141,186,359
67,138,189,357
58,127,184,364
55,124,182,365
52,122,183,363
50,108,185,363
48,105,184,361
42,98,185,358
37,93,186,356
