1518,1919,311,1079
1569,1919,340,1064
1592,1909,380,1055
1702,1898,420,1079
1343,1512,415,880
1343,1512,415,880
1332,1495,404,881
1328,1485,410,863
1327,1490,398,871
1313,1474,393,884
1292,1470,400,879
1292,1465,402,870
1276,1459,400,892
1268,1452,408,888
1255,1449,407,893
1251,1444,407,895
1252,1437,410,892
1221,1416,397,905
1217,1421,408,884
1218,1414,403,884
1219,1392,435,908
1220,1392,433,911
1210,1417,389,959
1215,1420,390,966
1214,1420,395,968
1212,1411,396,980
1210,1408,399,991
1203,1407,396,994
1207,1413,390,1006
1202,1398,384,1003
1191,1386,397,1012
1182,1367,400,1036
1168,1358,399,1046
1154,1344,397,1046
1134,1333,396,1043
1119,1324,395,1058
1094,1307,386,1050
1088,1309,386,1059
1074,1322,380,1054
1077,1315,378,1061
1037,1289,383,1057
1039,1287,379,1071
1072,1319,382,1078
1042,1286,387,1069
1045,1261,383,1077
1030,1267,368,1073
1018,1254,355,1057
1000,1242,374,1060
970,1247,381,1052
953,1241,386,1057
925,1244,387,1068
909,1247,394,1063
902,1215,386,1069
901,1206,377,1069
862,1148,354,1071
839,1120,345,1061
801,1116,351,1050
772,1105,355,1057
760,1099,356,1056
761,1091,361,1055
761,1091,361,1055
764,1055,372,1065
757,1050,346,1048
683,1005,344,1051
658,982,346,1036
603,984,336,1043
576,972,332,1060
564,964,352,1057
502,933,345,1079
502,933,345,1079
517,891,341,1079
461,874,337,1049
400,855,324,1055
321,780,305,1076
276,776,290,1074
215,761,282,1073
215,761,282,1073
115,679,253,1079
95,665,272,1078
65,612,257,1034
2,501,236,1037
2,501,236,1037
0,430,232,1062
0,351,190,1079
11,235,197,1043
